TSLast,TSActive,TSInactive,TSAckn,TValue,TType,LValue1,LType1,LValue2,LType2,GroupId,AlarmId,ClassId,Priority,State,OffsetLast,OffsetActive,OffsetInactive,OffsetAckn
133014715045000000,133014715045000000,,,1,0,,29,,29,5,1,3,100,2,300,300,-1,-1
133014719666500000,133014719666500000,,,1,0,,29,,29,5,2,3,100,2,300,300,-1,-1
133014719666510000,133014719666510000,,,1,0,,29,,29,5,3,3,100,2,300,300,-1,-1
133014719666510000,133014719666510000,,,1,0,,29,,29,5,4,3,100,2,300,300,-1,-1
133014720205510000,133014720205510000,,,1,0,,29,,29,7,1,3,100,2,300,300,-1,-1
133014720590510000,133014720590510000,,,1,0,,29,,29,7,8,3,100,2,300,300,-1,-1
133014720909510000,133014720909510000,,,1,0,,29,,29,7,15,3,100,2,300,300,-1,-1
133014720927510000,133014720927510000,,,1,0,,29,,29,12,9,1,10,2,300,300,-1,-1
133014726647500000,133014726647500000,,,1,0,,29,,29,5,5,3,100,2,300,300,-1,-1
133014726647510000,133014726647510000,,,1,0,,29,,29,5,6,3,100,2,300,300,-1,-1
133014733288020000,133014733288020000,,,1,0,,29,,29,12,15,1,10,2,300,300,-1,-1
133014733289010000,133014733289010000,,,1,0,,29,,29,7,25,3,100,2,300,300,-1,-1
133014733289010000,133014733289010000,,,1,0,,29,,29,7,27,3,100,2,300,300,-1,-1
133015494462500000,133015494462500000,,,1,0,,29,,29,5,32,3,100,2,300,300,-1,-1
133015494463990000,133015494463990000,,,1,0,,29,,29,5,1,3,100,2,300,300,-1,-1
133015494479490000,133015494479490000,,,1,0,,29,,29,5,2,3,100,2,300,300,-1,-1
133015494479500000,133015494479500000,,,1,0,,29,,29,5,3,3,100,2,300,300,-1,-1
133015494479500000,133015494479500000,,,1,0,,29,,29,5,4,3,100,2,300,300,-1,-1
133015494479500000,133015494479500000,,,1,0,,29,,29,5,5,3,100,2,300,300,-1,-1
133015494479500000,133015494479500000,,,1,0,,29,,29,5,6,3,100,2,300,300,-1,-1
133015494479510000,133015494479510000,,,1,0,,29,,29,7,1,3,100,2,300,300,-1,-1
133015494479510000,133015494479510000,,,1,0,,29,,29,7,8,3,100,2,300,300,-1,-1
133015494479520000,133015494479520000,,,1,0,,29,,29,7,15,3,100,2,300,300,-1,-1
133015494479520000,133015494479520000,,,1,0,,29,,29,7,25,3,100,2,300,300,-1,-1
133015494479530000,133015494479530000,,,1,0,,29,,29,7,27,3,100,2,300,300,-1,-1
133015494488520000,133015494479530000,133015494488520000,,1,0,,29,,29,12,1,1,10,0,300,300,300,-1
